type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,11200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Average,Average,1965,Hip,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,906,134,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,0,1040,1,1,3,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,1,384,Average/Typical,Paved,0,0,No,No,No,Feb,2008,Warranty Deed - Conventional,Normal Sale,129500
2-STORY 1946 & NEWER,Residential Low-Density,85,11924,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,Two-story,Excellent,Average,2005&2006,Hip,Standard (Composite) Shingle,Wood Shingles,286,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,998,177,1175,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1182,1142,2324,1,3,4,1,Excellent,11,Typical Functionality,2,Good,Built-In (Garage part of the house - typically has room above the garage),Finished,3,736,Average/Typical,Paved,147,21,No,No,No,Jul,2006,Home just constructed and sold,Home was not completed when last assessed,345000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12968,Paved,No alley access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Average,Above Average,1962,Hip,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,737,175,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,0,912,1,1,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,Unfinished,1,352,Average/Typical,Paved,140,0,No,No,No,Sep,2008,Warranty Deed - Conventional,Normal Sale,144000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,10652,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Good,Average,2006&2007,Gable,Standard (Composite) Shingle,Vinyl Siding,306,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,1494,1494,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494,0,1494,0,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,3,840,Average/Typical,Paved,160,33,No,No,No,Aug,2007,Home just constructed and sold,Home was not completed when last assessed,279500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10920,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Average,1960,Hip,Standard (Composite) Shingle,Metal Siding,212,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,733,520,1253,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1253,0,1253,1,1,2,1,Average/Typical,5,Typical Functionality,1,Fair,Attached to the home,Rough Finished,1,352,Average/Typical,Paved,0,213,No,Good Wood,No,May,2008,Warranty Deed - Conventional,Normal Sale,157000
1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,51,6120,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,Good,Very Good,1929&2001,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,832,832,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),854,0,854,0,1,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,2,576,Average/Typical,Paved,48,112,No,Good Privacy,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,132000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11241,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Good,1970,Gable,Standard (Composite) Shingle,Wood Siding,180,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,578,426,1004,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,0,1004,1,1,2,1,Average/Typical,5,Typical Functionality,1,Average,Attached to the home,Finished,2,480,Average/Typical,Paved,0,0,No,No,Shed (over 100 SF),Mar,2010,Warranty Deed - Conventional,Normal Sale,149000
DUPLEX - ALL STYLES AND AGES,Residential Low-Density,72,10791,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Duplex,One story,Below Average,Average,1967,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Slab,No,No,No Exposure,No,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1296,0,1296,0,2,2,2,Average/Typical,6,Typical Functionality,0,No,Car Port,Unfinished,2,516,Average/Typical,Paved,0,0,No,No,Shed (over 100 SF),Oct,2006,Warranty Deed - Conventional,Normal Sale,90000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,13695,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Adjacent to East-West Railroad&Normal,Single-family Detached,One story,Average,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,646,468,1114,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114,0,1114,1,1,3,1,Good,6,Typical Functionality,0,No,Detached from home,Unfinished,2,576,Average/Typical,Paved,0,102,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,159000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7560,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Above Average,1958&1965,Hip,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,504,525,1029,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339,0,1339,0,1,3,1,Average/Typical,6,Minor Deductions 1,0,No,Attached to the home,Unfinished,1,294,Average/Typical,Paved,0,0,No,Minimum Privacy,No,May,2009,Court Officer Deed/Estate,Abnormal Sale,139000
2-STORY 1946 & NEWER,Residential Low-Density,101,14215,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,Two-story,Very Good,Average,2005&2006,Gable,Standard (Composite) Shingle,Vinyl Siding,380,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,1158,1158,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158,1218,2376,0,3,4,1,Good,9,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Rough Finished,3,853,Average/Typical,Paved,240,154,No,No,No,Nov,2006,Home just constructed and sold,Home was not completed when last assessed,325300
1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,57,7449,Paved,Gravel,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,Good,Good,1930&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,637,637,Gas forced warm air furnace,Excellent,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1108,0,1108,0,1,3,1,Good,6,Typical Functionality,1,Good,Attached to the home,Unfinished,1,280,Average/Typical,Dirt/Gravel,0,0,No,Good Privacy,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,139400
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9742,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Very Good,Average,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,281,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1777,1777,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795,0,1795,0,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,534,Average/Typical,Paved,171,159,No,No,No,Sep,2008,Warranty Deed - Conventional,Normal Sale,230000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44,4224,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Normal,Townhouse End Unit,One story,Average,Good,1976,Gable,Standard (Composite) Shingle,Cement Board,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,840,200,1040,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1060,0,1060,1,1,3,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Unfinished,2,572,Average/Typical,Paved,100,110,No,No,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,129900
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8246,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Average,Very Good,1968&2001,Gable,Standard (Composite) Shingle,Plywood,0,Average/Typical&Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Average Rec Room&Average Living Quarters,188,204,1060,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060,0,1060,1,1,3,1,Good,6,Typical Functionality,1,Average,Attached to the home,Unfinished,1,270,Average/Typical,Paved,406,90,No,Minimum Privacy,No,May,2010,Warranty Deed - Conventional,Normal Sale,154000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14230,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,One story,Very Good,Average,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,640,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1566,1566,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600,0,1600,0,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,3,890,Average/Typical,Paved,0,56,No,No,No,Jul,2009,Warranty Deed - Conventional,Normal Sale,256300
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Good,1951&2000,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Below Average Living Quarters&Average Rec Room,234,180,900,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900,0,900,0,1,3,1,Good,5,Typical Functionality,0,No,Detached from home,Unfinished,2,576,Average/Typical,Paved,222,32,No,No,No,May,2010,Warranty Deed - Conventional,Normal Sale,134800
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,11478,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,One story,Very Good,Average,2007&2008,Gable,Standard (Composite) Shingle,Vinyl Siding,200,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1218,486,1704,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1704,0,1704,1,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,3,772,Average/Typical,Paved,0,50,No,No,No,May,2010,Warranty Deed - Conventional,Normal Sale,306000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,16321,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Above Average,1957&1997,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living Quarters&Unfinished,1277,207,1484,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1600,0,1600,1,1,2,1,Average/Typical,6,Typical Functionality,2,Good,Attached to the home,Rough Finished,1,319,Average/Typical,Paved,288,258,No,No,No,Dec,2006,Warranty Deed - Conventional,Normal Sale,207500
1-STORY 1945 & OLDER,Residential Medium Density,60,6324,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Adjacent to feeder street&Within 200 of North-South Railroad,Single-family Detached,One story,Below Average,Above Average,1927&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,520,520,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,520,0,520,0,1,1,1,Fair,4,Typical Functionality,0,No,Detached from home,Unfinished,1,240,Fair&Average/Typical,Paved,49,0,No,No,No,May,2008,Warranty Deed - Conventional,Normal Sale,68500
2-STORY 1945 & NEWER,C (all),50,8500,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Adjacent to feeder street&Normal,Single-family Detached,Two-story,Below Average,Below Average,1920&1950,Gabrel (Barn),Standard (Composite) Shingle,Brick Face,0,Average/Typical&Fair,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,649,649,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,649,668,1317,0,1,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,Unfinished,1,250,Average/Typical&Fair,Dirt/Gravel,0,54,No,Minimum Privacy,No,Jul,2008,Warranty Deed - Conventional,Normal Sale,40000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8544,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Average,Above Average,1966&2006,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1228,1228,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,0,1228,0,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Unfinished,1,271,Average/Typical,Paved,0,65,No,Minimum Privacy,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,149350
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,11049,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Very Good,Average,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,1234,1234,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1234,0,1234,0,2,3,1,Good,7,Typical Functionality,0,No,Attached to the home,Rough Finished,2,484,Average/Typical,Paved,0,30,No,No,No,Jan,2008,Warranty Deed - Conventional,Normal Sale,179900
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10552,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Average,1959,Hip,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,1018,380,1398,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1700,0,1700,0,1,4,1,Good,6,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,447,Average/Typical,Paved,0,38,No,No,No,Apr,2010,Warranty Deed - Conventional,Normal Sale,165500
